,,,,,,,,
"Details of Granted Patents in IIEST, Shibpur",,,,,,,,
,,,,,,,,
Sl. No.,Granted Patent No.  ,Date of Grant,Inventor(s)/Faculty/Student,Title of Patent,Application Number,Date of Publication,Patent Filing Institute/Individual(s),Abstract
2025,,,,,,,,
41,568186,30.06.2025,Mainak Sengupta and Devraj Roy,A SYSTEM EMPLOYING MIXED-SIGNAL PLATFORM FOR PARAMETER AND POSITION ESTIMATION OF A SWITCHED RELUCTANCE MOTOR,202231074542,28.06.2024,"IIEST, Shibpur",
40,564693,31.03.2025,"Chinmoy Ghorai, Arpita Debnath, Sarmistha Neogy, Indrajit Banerjee",Finding out a Suitable Infrastructure less Mobile Charging Station for Charging Electric Vehicles on the Go.,202331002921 dated 14.01.2023,14.01.2023,"Arpita Debnath, Sarmistha Neogy, Chinmoy Ghorai, Indrajit Banerjee",
39,563893,27.03.2025,"Debabrata Dhupal, Subhadip Pradhan, Kanchan Kumari",APPARATUS FOR TEMPERATURE-CONTROLLED ABRASIVE MULTI-JET MACHINING,202331068740 dated 12.10.2023,12.01.2024,"Debabrata DHUPAL, Subhadip PRADHAN, Kanchan KUMARI",
38,561692,28.02.2025,"Ananda Sankar Chakraborty, C G Gisha (CUSAT Cochin), Jose Vijoy Antony (CUSAT Cochin)",Circuitry and Method for Hybrid Current Mirror Inverter Physically Unclonable Function,202141017821 dated 16.04.2021,21.10.2022,Cochin University of Science and Technology (CUSAT),
37,558694,24.01.2025,"Dr Chinmoy Ghorai, Dr Indrajit Banerjee, Dr Suranjan Sinha, Dr Sudipta Mukhapadhyay, Kulshresth Singh",Real-time Remote Air Quality Monitoring System with Automatic Sprinkler System,"202231040929, TEMP/E1/45412/2022-KOL  dated 18.07.2022",20.01.2023,"Chinmoy Ghorai, 
Indrajit Banerjee, 
Sudipta Mukhopadhyay",
2024,,,,,,,,
36,555099,11.09.2024,"K.Sinha, A.Chakraborty,P.Dutta, Z.Ahmed, C.D.Mukhopadhyay, C.RoyChaudhuri",Real time serotonin detection by molecularly imprinted polymer based direct coupled field effect tra,202331059039 dated 03/09/2023,20.10.2023,"IIEST, Shibpur",
35,548144,20.08.2024,Chirasree RoyChaudhuri Abhranila Das Surajit Bose Naresh Mandal,HOME-Stat: A Handheld Open-Access Mobile-Interfaced Potentiostat with Extended Measurement Ranges,202031033036 dated 30/07/2020,19.03.2021,"IIEST, Shibpur",
34,546320,29.07.2024,"Chinmoy Ghorai, Swapan Shakhari, Arpita Debnath, Indrajit Banerjee",METHOD FOR SELECTING A FORWARDING VEHICLE FOR MULTI-HOP ROUTING IN URBAN VANETS,201931014519 dated 10/04/2019  ,14.06.2019,"Chinmoy Ghorai, Swapan Shakhari, Arpita Debnath, Indrajit Banerjee",
33,544190,04.07.2024,"Chirasree RoyChaudhuri, N.Samanta, A.K.Chanda (Department of Electronics and Telecommuniction Engineering, IIEST Shibpur)",NON-INVASIVE CAMERA-LESS WIRELESS SENSOR SYSTEM FORMONITORING OF ELDERLY PEOPLE STAYING ALONE,647/KOL/2015 dated 10.06.2015,20.10.2017,"IIEST, Shibpur",
32,521555,07.03.2024,"Dr. S. Dalapati, Dipankar Chatterjee",A Current-sensor-less Technique for Dead Time Distortion Compensation in PWM Inverters,202331011297 dated 19/02/2023,10.03.2023,"IIEST, Shibpur",
31,516594,28.02.2024,"SAGAR BOSE, INDRAJIT BANERJEE,  SOUJANYA BHOWMIK.",APPARATUS FOR MULTI-RADIO INTERFACING BASED RELIABLE IOT-ENABLE PHYSICAL SENSORY TRANSMISSION SYSTEM,201931028264 dated 15/07/2019,09.08.2019,"1 . SAGAR BOSE
2 . INDRAJIT BANERJEE
3 . SOUJANYA BHOWMICK",
30,511694,16.02.2024,"Indrajit Banerjee, Suranjan Sinha, Chinmoy Ghorai, Mr Arpan Sen, Mr M. P.Chaudhari, Mr D.S. Shome, and G. G. Manekar.",REAL-TIME ZERO WASTE WATER QUALITY OBSERVING SYSTEM,"MOIL Limited, Govt. of India. 202021008379 dated 27.02.2020",27.05.2022,MOIL LIMITED,
29,553659,30.10.2024,"Saikat Chandra Bakshi, Ankita Pramanik, Prof. P. Venkateswaran, Ankita Ray Chowdhury, Avik Kumar Das",SMART UNDERGROUND MINE MONITORING SYSTEM,202331063085 dated 20-09-2023 ,10.11.2023,"Saikat Chandra Bakshi, Ankita Pramanik, Prof. P. Venkateswaran, Ankita Ray Chowdhury, Avik Kumar Das",
28,530179,26.03.2024,Dr. Sadhan Chandra Das,THREE LASER BEAMS DETECTION ARRANGEMENT FOR MEASUREMENT OF GRAVITATIONAL ACCELERATION,202021041842 dated 26.09.2020,09.10.2020,Dr. Sadhan Chandra Das,
27,514535,23.02.2024,"Debabrata Majumder, Supriyo Goswami",Moving Bed Hybrid Bioreactor (MBHBR) for Biological Treatment of Industrial Wastewater,201731009971 dated 22.03.2017,28.09.2018,"1 . DEBABRATA MAZUMDER
2 . SUPRIYO GOSWAMI",
26,505071,30.01.2024,"Debabrata Majumder, Supriyo Goswami",A Hollow Partitioned Cubical (HPC) Bio-carrier Particle for MBHBR System Treating Composite Chrome Tannery Wastewater,201731011570 dated 31.03.2017,05.10.2018,"1 . SUPRIYO GOSWAMI
2 . DEBABRATA MAZUMDER",
